Unnamed: 0,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
0,0.019336303012096323
0.25,-0.011064193131460343
0.5,0.0010435767308081267
0.75,0.0001720432010188233
1,0.0007641961019544397
1.25,-0.0005929584858677117
1.5,-0.0003088665323502937
1.75,3.629788736247974e-05
2,-0.0002782903152365179
2.25,0.0009545051398163196
2.5,0.0004127354884531087
2.75,-0.0012527036687970394
3,1.4635618938996231e-05
3.25,0.0004174540890744538
3.5,0.0004760112517487869
3.75,-0.0012542698186734924
4,0.001379917534904962
4.25,-0.00017436565258321934
4.5,-0.0009574587238603272
4.75,0.0004049512085657625
5,0.0003266718806571589
5.25,-0.00024380366880905058
5.5,0.00025252401769648714
5.75,-0.0007578005352115724
6,0.0008263917834483436
6.25,-0.0005032541707805649
6.5,0.0005096291602058045
6.75,-0.00020649584087095718
7,-0.0001253546315638232
7.25,-4.876716985791063e-05
7.5,0.0003577484903871664
7.75,-0.0003487537298951793
8,-0.00014910267509549158
8.25,0.0004486403781811532
8.5,-0.00012986095043743262
8.75,-4.1580925369544275e-05
9,-4.7913736977989174e-05
9.25,0.0001507032720837742
9.5,-0.00018423126846300875
9.75,3.53075413350723e-06
10,2.4154189759428846e-05
10.25,-0.00015968086586326535
10.5,0.00038467419471999165
10.75,-0.0002568175148098817
11,2.5202416154002094e-05
11.25,4.4929656439762766e-05
11.5,-5.402219116490414e-06
11.75,9.627326846839424e-05
12,-0.00026710048928180186
12.25,-5.367796873656516e-05
12.5,0.0007407210205201409
12.75,-0.000896677761375031
13,0.0004852934694099531
13.25,-0.00011820054623967735
13.5,2.3715221786346774e-05
13.75,-0.00016719687323529797
14,4.768012118461229e-05
14.25,0.00028522450179480074
14.5,-0.00022805870969477837
14.75,-5.1296588310378866e-05
15,0.0004302004583678354
15.25,-0.0007236862984427717
15.5,0.0006699040682178747
15.75,-0.00043638524971356674
16,0.00016572246863688633
16.25,-0.0002992728411754797
16.5,0.0005340531288311468
16.75,-0.0002414380730897392
17,9.273247059127243e-05
17.25,-0.0003650213784567313
17.5,0.0003566072166449885
17.75,-0.0006094238642617711
18,-0.0017359993762511294
18.25,0.007894621376181021
18.5,-0.007445315532095265
18.75,0.0019380975118110655
19,-0.0005931422606408887
19.25,0.0003650179678515997
19.5,-0.0003839385556148045
19.75,0.000577940966195456
20,0.0001151644539731933
20.25,-0.0003705480082771828
20.5,0.0003747223331629357
20.75,-0.0003428050376896863
21,0.000351026699263457
21.25,-0.0004447047672329063
21.5,1.66421576519582e-06
21.75,0.0005450551725516561
22,-0.0007580631518067094
22.25,0.0008456438536086353
22.5,-0.0006920170676494308
