Unnamed: 0,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
0,0.002926977686001919
0.625,0.005117021828482393
1.25,-0.012071549463144038
1.875,0.006000430857966421
2.5,3.360090516935088e-05
3.125,0.00038117562439765607
3.75,-0.0022560566321772058
4.375,0.0025318227017123718
5,-0.0011899619494215585
5.625,0.0009092174195757252
6.25,-0.0014094518974161474
6.875,0.0005410352628132387
7.5,-0.00029015924951636407
8.125,0.0014442615565712913
8.75,-0.0024153850972652435
9.375,0.0013762414710072335
10,0.001711713139229687
10.625,-0.0031572369607602013
11.25,0.003349045300637954
11.875,-0.012048421922372654
12.5,0.016950638382695615
13.125,0.0020709778709715465
13.75,-0.017971036868402734
14.375,0.008067064300121274
15,0.0018397707890471793
15.625,-0.0016044147059801617
16.25,0.0010202431894867914
16.875,-0.00041397069594495406
17.5,-0.0003361520839462173
18.125,0.0004480157258512918
18.75,0.00027058737828156154
19.375,-0.000609600306233915
20,0.0003060480082694994
20.625,9.172121195888394e-05
21.25,8.209722324181712e-05
21.875,-0.0003535145935984474
22.5,0.0023725647224637214
23.125,-0.004239790541760158
23.75,0.0036638798519561533
24.375,-0.004662697847379604
25,0.004196540885459399
25.625,-0.003805640972132096
26.25,0.004121419806324411
26.875,-0.0010431820101075573
27.5,-0.0003742151193364407
28.125,0.00028558392273225763
28.75,-0.0012531536413007416
29.375,0.0013698347629542695
30,-0.00047505349698440114
30.625,3.2375616854096734e-05
31.25,-0.0002358213180286839
31.875,-0.00013668626763774228
32.5,0.0010201072200288763
33.125,-0.001093299488275079
33.75,0.00032147471529242466
34.375,0.00020173017389879533
35,-0.00026278689801984
35.625,0.0001658932262671442
36.25,-0.009793310709937941
36.875,0.02098869845212903
37.5,-0.010397562618891243
38.125,-0.004388431079860311
38.75,0.00419185289501911
39.375,-0.000364821403309179
40,-0.00030353024271789764
40.625,-0.0006042985205567675
41.25,0.0014612788845624891
41.875,-0.0007923676434984372
42.5,-0.00019637178638731712
43.125,0.0002495984290362685
43.75,-0.00028012095754093025
44.375,8.550316010769166e-05
45,0.00019037743470562418
45.625,4.766288697055643e-05
46.25,0.00017785133366032824
46.875,-0.0004963342234987067
47.5,0.00031948937362358265
48.125,-0.0010135792081200634
48.75,0.003632212838056148
49.375,-0.0053069729801791254
50,0.0035569732972362544
50.625,-0.001553196625536657
51.25,0.0008777087145972473
51.875,-0.000550518961972557
52.5,2.9083691899245423e-05
53.125,0.00041479984247416724
53.75,-0.00018839098459011439
54.375,-0.0005045842499384889
55,0.0007955887895150227
55.625,-0.00022350994299813465
56.25,-0.0005966564913251204
56.875,0.0010722332035584259
57.5,-0.0012241151807756978
