Unnamed: 0,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
0,0.029654314857907593
0.3125,-0.017547461538924836
0.625,0.004489295406528981
0.9375,-0.0005527173811969988
1.25,-0.0033487008295196574
1.5625,0.0038069704260124126
1.875,-0.0010647186172718648
2.1875,-0.0014597943618355202
2.5,0.00039281005115299195
2.8125,0.0006761777058272855
3.125,-0.0002023761993541484
3.4375,-0.00016774654909568198
3.75,0.00034987323260793346
4.0625,-0.0002455065271078638
4.375,0.0004629197292160825
4.6875,-0.00047096719413275423
5,-6.493783644145878e-05
5.3125,-4.224352423420896e-05
5.625,0.00015448627266323456
5.9375,-0.0003054718149542168
6.25,0.0007225024774015765
6.5625,-0.0005867746040166821
6.875,0.0003260679193317628
7.1875,-0.000335877160750897
7.5,0.00013642835483551607
7.8125,0.0003113019602096756
8.125,-0.0004235771200455929
8.4375,-5.3892787121867514e-05
8.75,0.000549734863852791
9.0625,-0.0003352293447278498
9.375,-0.00025220097654710116
9.6875,0.0006466318609454902
10,-0.00026933383878713357
10.3125,-0.0005728279575123452
10.625,0.0003274230664374045
10.9375,0.00013746793570135196
11.25,0.00018016835667822306
11.5625,-0.0003485351953713689
11.875,0.00026660532626010536
12.1875,-0.00014148180582651548
12.5,-0.00013847669322331058
12.8125,0.0005766382855654228
13.125,-0.0007184773949120427
13.4375,0.0006463528734457213
13.75,-0.0005786279757558077
14.0625,0.00043486573986228905
14.375,-0.0002670094829682057
14.6875,4.459572977566495e-05
15,3.7011030684652724e-05
15.3125,5.8027080029887657e-05
15.625,-0.00036217969068275124
15.9375,0.0005125406801198551
16.25,-0.0002861782206764474
16.5625,7.60237526264973e-05
16.875,0.0002663638269950752
17.1875,-0.00031715413228994294
17.5,0.00042604008854141284
17.8125,-0.00020145753865108418
18.125,-0.003910644409188535
18.4375,0.005629082352243131
18.75,-0.0014909933270246256
19.0625,8.518579619476441e-05
19.375,-0.0008087574769888306
19.6875,0.00029706217219427344
20,0.0002806736745242233
20.3125,-0.000257378303558653
20.625,0.00032079447009891737
20.9375,-0.0004375611126761214
21.25,-3.486076138869976e-05
21.5625,0.00010557165808222635
21.875,0.00011661707333132654
22.1875,-0.0002439998070258298
22.5,0.0005355118446459528
22.8125,-0.0007150371743591677
23.125,0.0004226795340400713
23.4375,0.00023495110212934378
23.75,-0.0004152425105985458
24.0625,-0.0002365531912573715
24.375,0.0008607430004303751
24.6875,-0.0010251409321426763
25,0.001117795022764767
25.3125,-0.0010730861959018512
25.625,0.0006918451163073769
25.9375,-0.00029010342927904276
26.25,8.341697999014741e-06
26.5625,0.0002244424450736915
26.875,-0.0003254499176819081
